frequency.group	word	frequency	jyutping	ipa.citation	ipa.actual	recording	talker	condition	word.no	phonetic.match
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s102ch1	s102	CDS	188	1
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s102ch1	s102	CDS	1294	0
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s102ch1	s102	CDS	1305	0
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s102ch2	s102	CDS	8237	1
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s102ch2	s102	CDS	8246	1
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s102ch2	s102	CDS	8408	1
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s102cl	s102	CDS	218	0
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s103als	s103	ADS	89	1
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s103als	s103	ADS	283	0
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s103cl	s103	CDS	1302	0
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s103cl	s103	CDS	1592	0
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s104ali	s104	ADS	1412	1
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s104als	s104	ADS	138	1
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s105alm	s105	ADS	101	1
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s105alm	s105	ADS	140	1
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s105als	s105	ADS	273	0
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s105cl	s105	CDS	1291	0
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s105cl	s105	CDS	1816	0
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s105cl	s105	CDS	1819	0
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s105cl	s105	CDS	2450	1
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s105cl	s105	CDS	3152	1
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s106ali	s106	ADS	1111	1
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s106alm	s106	ADS	57	0
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s106alm	s106	ADS	188	0
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s106als	s106	ADS	126	0
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s106als	s106	ADS	129	1
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s106als	s106	ADS	411	1
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s107ali	s107	ADS	719	0
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s107ali	s107	ADS	1498	0
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s107cl	s107	CDS	198	0
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s107cl	s107	CDS	2078	1
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s107cl	s107	CDS	4216	0
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s107cl	s107	CDS	6218	0
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s108ali	s108	ADS	755	1
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s108ali	s108	ADS	770	0
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s108ali	s108	ADS	1003	0
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s108ali	s108	ADS	1304	0
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s108alm	s108	ADS	143	1
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s109ali	s109	ADS	226	1
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s109ali	s109	ADS	329	0
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s109ali	s109	ADS	399	1
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s109ali	s109	ADS	1052	1
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s109ch5	s109	CDS	105	1
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s109ch5	s109	CDS	119	1
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s109ch5	s109	CDS	1757	0
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s110alm	s110	ADS	108	1
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s110cl	s110	CDS	4357	1
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s110cl	s110	CDS	4485	0
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s110cl	s110	CDS	4494	1
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s111cl	s111	CDS	29	0
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s111cl	s111	CDS	42	0
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s111cl	s111	CDS	45	0
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s111cl	s111	CDS	126	1
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s111cl	s111	CDS	1592	0
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s112alf	s112	ADS	58	1
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s112ali	s112	ADS	134	0
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s112cl	s112	CDS	64	1
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s112cl	s112	CDS	2453	1
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s112cl	s112	CDS	2462	1
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s112cl	s112	CDS	3459	0
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s112cl	s112	CDS	5298	1
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s113alf	s113	ADS	132	0
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s113alf	s113	ADS	198	1
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s113ali	s113	ADS	661	0
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s113cl	s113	CDS	129	0
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s113cl	s113	CDS	166	0
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s113cl	s113	CDS	183	0
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s113cl	s113	CDS	245	1
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s113cl	s113	CDS	361	0
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s113cl	s113	CDS	372	1
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s113cl	s113	CDS	1175	0
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s113cl	s113	CDS	1687	1
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s113cl	s113	CDS	2319	0
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s113cl	s113	CDS	4170	0
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s113cl	s113	CDS	4498	1
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s113cl	s113	CDS	4515	0
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s113cl	s113	CDS	5661	0
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s114alf	s114	ADS	60	1
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s114alm	s114	ADS	114	0
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s114cl	s114	CDS	16	1
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s114cl	s114	CDS	2351	0
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s114cl	s114	CDS	2359	0
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s114cl	s114	CDS	2865	0
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s114cl	s114	CDS	3028	0
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s115alm	s115	ADS	68	0
high	自己	394	zi6.gei2	tsi.kei	tsi.ji	s115als	s115	ADS	272	0
high	自己	394	zi6.gei2	tsi.kei	tsi.kei	s116ali	s116	ADS	731	1
