FreqGrp	Word	Frequency	WordType
high	自己	394	non-branching
high	或者	251	non-branching
high	朋友	215	non-branching
high	所以	117	non-branching
high	知道	118	non-branching
high	不過	104	non-branching
high	呢個	799	branching
high	我哋	642	branching
high	嗰個	552	branching
high	但係	527	branching
high	其實	493	branching
high	唔係	482	branching
high	就係	478	branching
high	可以	464	branching
high	覺得	458	branching
high	因爲	448	branching
high	咁樣	444	branching
high	如果	393	branching
high	而家	343	branching
high	何能	327	branching
mid	以前	58	non-branching
mid	經濟	36	non-branching
mid	然後	32	non-branching
mid	考慮	28	non-branching
mid	辛苦	26	non-branching
mid	網絡	26	non-branching
mid	以爲	24	non-branching
mid	雖然	24	non-branching
mid	等如	22	non-branching
mid	先生	12	non-branching
mid	放棄	28	branching
mid	行爲	28	branching
mid	做嘢	26	branching
mid	唔敢	28	branching
mid	發覺	28	branching
mid	報紙	28	branching
mid	市民	28	branching
mid	投資	28	branching
mid	電腦	28	branching
mid	重要	28	branching
low	虛偽	1	non-branching
low	論盡	1	non-branching
low	零舍	1	non-branching
low	麻雀	1	non-branching
low	朦糊	1	non-branching
low	惡劣	1	non-branching
low	蕭條	1	non-branching
low	打算	1	non-branching
low	糟質	1	non-branching
low	污衊	1	non-branching
low	去傾	1	branching
low	開住	1	branching
low	應承	1	branching
low	搞緊	1	branching
low	掛名	1	branching
low	靈敏	1	branching
low	外資	1	branching
low	把持	1	branching
low	新嘢	1	branching
low	沮桒	1	branching
