talker	recording	task	condition	SFP.chinese	SFP.jyutping	SFP.ipa	F0.hz
s101	s101alf	alf	ADS	呀	aa3	aː	184.7
s101	s101alf	alf	ADS	啦	laa1	laː	190.1
s101	s101alf	alf	ADS	嘅	ge3	kɛ	284.05
s101	s101alf	alf	ADS	啦	laa1	laː	229.32
s101	s101alf	alf	ADS	啦	laa1	laː	196.52
s101	s101alf	alf	ADS	呢	le1	lɛ	175.34
s101	s101alf	alf	ADS	啦	laa1	laː	175.34
s101	s101alf	alf	ADS	喎	wo3	wɔ	189.98
s101	s101alf	alf	ADS	啦	laa1	laː	189.98
s101	s101alf	alf	ADS	呢	le1	lɛ	207
s101	s101alf	alf	ADS	啦	laa1	laː	207
s101	s101alf	alf	ADS	啦	laa1	laː	NA
s101	s101alf	alf	ADS	喎	wo3	wɔ	271.21
s101	s101alf	alf	ADS	呢	le1	lɛ	198.54
s101	s101alf	alf	ADS	啦	laa1	laː	198.54
s101	s101alf	alf	ADS	喎	wo3	wɔ	205.03
s101	s101alf	alf	ADS	啦	laa1	laː	205.03
s101	s101alf	alf	ADS	呀	aa3	aː	212.08
s101	s101alf	alf	ADS	啦	laa1	laː	212.08
s101	s101alf	alf	ADS	呢	le1	lɛ	193.47
s101	s101alf	alf	ADS	啦	laa1	laː	193.47
s101	s101alf	alf	ADS	啦	laa1	laː	170.88
s101	s101alf	alf	ADS	呀	aa3	aː	177.56
s101	s101alf	alf	ADS	啦	laa1	laː	177.56
s101	s101alf	alf	ADS	啦	laa1	laː	177.56
s101	s101ali	ali	ADS	啦	laa1	laː	177.56
s101	s101ali	ali	ADS	啦	laa1	laː	475
s101	s101ali	ali	ADS	囉	lo1	lɔ	419.79
s101	s101ali	ali	ADS	呀	aa3	aː	538.49
s101	s101ali	ali	ADS	呀	aa3	aː	538.49
s101	s101ali	ali	ADS	呀	aa3	aː	197.6
s101	s101ali	ali	ADS	囉	lo1	lɔ	207.26
s101	s101ali	ali	ADS	呀	aa3	aː	333.01
s101	s101ali	ali	ADS	囉	lo1	lɔ	178.09
s101	s101ali	ali	ADS	嘅	ge3	kɛ	158.78
s101	s101ali	ali	ADS	囉	lo1	lɔ	176.13
s101	s101ali	ali	ADS	囉	lo1	lɔ	162.54
s101	s101ali	ali	ADS	囉	lo1	lɔ	523.67
s101	s101ali	ali	ADS	呀	aa3	aː	208.67
s101	s101ali	ali	ADS	嘅	ge3	kɛ	519.95
s101	s101ali	ali	ADS	啦	laa1	laː	357.16
s101	s101ali	ali	ADS	嘅	ge3	kɛ	244.04
s101	s101ali	ali	ADS	呀	aa3	aː	192.12
s101	s101ali	ali	ADS	㗎	gaa3	kaː	517.06
s101	s101ali	ali	ADS	嘅	ge3	kɛ	232.37
s101	s101ali	ali	ADS	啦	laa1	laː	232.37
s101	s101ali	ali	ADS	囉	lo1	lɔ	241.06
s101	s101ali	ali	ADS	啦	laa1	laː	241.06
s101	s101ali	ali	ADS	囉	lo1	lɔ	325.06
s101	s101ali	ali	ADS	嘅	ge3	kɛ	187.19
s101	s101ali	ali	ADS	嘅	ge3	kɛ	141.02
s101	s101ali	ali	ADS	囉	lo1	lɔ	312.32
s101	s101ali	ali	ADS	囉	lo1	lɔ	187.28
s101	s101ali	ali	ADS	啦	laa1	laː	197.3
s101	s101ali	ali	ADS	嘅	ge3	kɛ	167.47
s101	s101ali	ali	ADS	㗎	gaa3	kaː	168.86
s101	s101ali	ali	ADS	呀	aa3	aː	367.4
s101	s101ali	ali	ADS	啦	laa1	laː	367.4
s101	s101ali	ali	ADS	啦	laa1	laː	367.4
s101	s101ali	ali	ADS	囉	lo1	lɔ	325.64
s101	s101ali	ali	ADS	呀	aa3	aː	325.64
s101	s101ali	ali	ADS	囉	lo1	lɔ	165.7
s101	s101ali	ali	ADS	啦	laa1	laː	165.7
s101	s101ali	ali	ADS	囉	lo1	lɔ	158.22
s101	s101ali	ali	ADS	囉	lo1	lɔ	169.75
s101	s101ali	ali	ADS	嘛	maa3	maː	183.66
s101	s101ali	ali	ADS	囉	lo1	lɔ	258.56
s101	s101ali	ali	ADS	囉	lo1	lɔ	159.97
s101	s101ali	ali	ADS	啦	laa1	laː	159.97
s101	s101ali	ali	ADS	囉	lo1	lɔ	NA
s101	s101ali	ali	ADS	啦	laa1	laː	NA
s101	s101ali	ali	ADS	呀	aa3	aː	NA
s101	s101ali	ali	ADS	囉	lo1	lɔ	181.82
s101	s101ali	ali	ADS	啦	laa1	laː	357.96
s101	s101ali	ali	ADS	啦	laa1	laː	308.68
s101	s101ali	ali	ADS	啦	laa1	laː	308.68
s101	s101ali	ali	ADS	囉	lo1	lɔ	305.55
s101	s101ali	ali	ADS	啦	laa1	laː	305.55
s101	s101ali	ali	ADS	囉	lo1	lɔ	192.63
s101	s101ali	ali	ADS	囉	lo1	lɔ	560.84
s101	s101ali	ali	ADS	囉	lo1	lɔ	196.16
s101	s101ali	ali	ADS	啦	laa1	laː	196.16
s101	s101ali	ali	ADS	囉	lo1	lɔ	220.58
s101	s101ali	ali	ADS	啦	laa1	laː	466.12
s101	s101ali	ali	ADS	呀	aa3	aː	463.67
s101	s101ali	ali	ADS	呀	aa3	aː	463.67
s101	s101ali	ali	ADS	呀	aa3	aː	179.59
s101	s101ali	ali	ADS	嘅	ge3	kɛ	158.24
s101	s101ali	ali	ADS	囉	lo1	lɔ	366.85
