SFP	condition	n	mean.F0	stdev.F0	std.err.F0
呀	ADS	671	NA	85.39826560191442	0.8165076147054774
呀	CDS	5171	NA	101.08088674531375	0.8916973568883279
吖	ADS	186	NA	85.35237309904122	0.8367879715592276
吖	CDS	139	NA	99.56516569216345	1.1269923475129358
噃	ADS	0	NA	NA	NA
噃	CDS	13	NA	100.95225816653883	1.152029775815542
㗎	ADS	367	NA	72.8801406574085	0.7078077315066389
㗎	CDS	1969	NA	80.41291837886176	0.819091394164753
啩	ADS	15	NA	109.94747639224124	1.086991688109348
啩	CDS	0	NA	NA	NA
啦	ADS	502	NA	74.17563578188118	0.7119448676535239
啦	CDS	618	NA	77.68134471668094	0.8533835566079594
喇	ADS	393	NA	96.97148027611352	0.9390837393069934
喇	CDS	596	NA	80.70196091712384	0.8878538701721085
嗱	ADS	14	NA	60.457032842345455	0.5976770268224838
嗱	CDS	360	NA	80.81385017140327	0.9019492799918849
嚟	ADS	0	NA	NA	NA
嚟	CDS	110	NA	41.548687899059246	0.4711716890502092
囉	ADS	1087	NA	74.73489765801348	0.7028291215008765
囉	CDS	323	NA	70.40140975351754	0.7876533875801038
嚕	ADS	0	NA	NA	NA
嚕	CDS	8	NA	23.923425764716676	0.27309419710047733
嗎	ADS	0	NA	NA	NA
嗎	CDS	7	NA	52.50968679388379	0.5994553337361875
嘛	ADS	43	NA	63.62041309274274	0.6281219492782797
嘛	CDS	113	NA	76.23259431238411	0.8643284612079852
先	ADS	140	NA	49.2918931939176	0.48404542597865374
先	CDS	978	NA	52.232922232669466	0.5617742451223922
㖭	ADS	15	NA	27.611817110436565	0.2728499038416248
㖭	CDS	44	NA	66.430659566325	0.7565565148129796
哇	ADS	29	NA	49.06266162347304	0.48470101479555716
哇	CDS	915	NA	90.56173094913258	0.9775188897574232
喎	ADS	280	NA	73.12181218850597	0.7099874329638793
喎	CDS	1412	NA	70.69219751489845	0.7415446791441289
咋	ADS	25	NA	97.90361976484378	0.9673061840571778
咋	CDS	32	NA	54.086424756968654	0.6164520783052592
啫	ADS	47	NA	75.13709248253119	0.7416449840840527
啫	CDS	45	NA	66.98547189132479	0.7628256181335978
