talker	recording	task	condition	SFP.chinese	SFP.jyutping	SFP.ipa	F0.hz	duration.ms	mean.F0.utterance	mean.syll.duration.ms
s101	s101ali	ali	ADS	囉	lo1	lɔ	419.79	43.00000000000637	225.570629375	378.24999999999955
s101	s101ali	ali	ADS	囉	lo1	lɔ	207.26	454.00000000000773	193.26221873333333	518.4999999999995
s101	s101ali	ali	ADS	囉	lo1	lɔ	178.09	280.00000000000114	193.9206651	412.5000000000014
s101	s101ali	ali	ADS	囉	lo1	lɔ	176.13	356.9999999999993	181.39221111428571	401.74999999999983
s101	s101ali	ali	ADS	囉	lo1	lɔ	162.54	171.42900000000338	181.42460823333334	180.35742174999925
s101	s101ali	ali	ADS	囉	lo1	lɔ	523.67	97.68000000001109	NA	381.9199220000016
s101	s101ali	ali	ADS	囉	lo1	lɔ	241.06	85.00000000000796	209.29243449999998	263.7500000000017
s101	s101ali	ali	ADS	囉	lo1	lɔ	325.06	93.99999999999409	265.5914457	178.49999999999966
s101	s101ali	ali	ADS	囉	lo1	lɔ	312.32	139.00000000001	229.91126146666667	404.74999999999994
s101	s101ali	ali	ADS	囉	lo1	lɔ	187.28	137.9999999999768	188.568914725	264.4999999999982
s101	s101ali	ali	ADS	囉	lo1	lɔ	325.64	177.23899999998594	221.9338883888889	711.8097549999973
s101	s101ali	ali	ADS	囉	lo1	lɔ	165.7	152.9999999999916	195.05806073333332	368.2499999999962
s101	s101ali	ali	ADS	囉	lo1	lɔ	158.22	131.00000000000023	189.794503075	182.74999999999864
s101	s101ali	ali	ADS	囉	lo1	lɔ	169.75	128.99999999999068	156.462618725	372.2500000000011
s101	s101ali	ali	ADS	囉	lo1	lɔ	258.56	99.07799999999156	258.5562565	142.26953125000108
s101	s101ali	ali	ADS	囉	lo1	lɔ	159.97	96.00000000000364	192.841162225	206.50000000000546
s101	s101ali	ali	ADS	囉	lo1	lɔ	NA	40.99999999999682	NA	837.7499999999998
s101	s101ali	ali	ADS	囉	lo1	lɔ	181.82	38.000000000010914	187.43041925	134.50000000000273
s101	s101ali	ali	ADS	囉	lo1	lɔ	305.55	74.99999999998863	NA	431.2499999999915
s101	s101ali	ali	ADS	囉	lo1	lɔ	192.63	332.0000000000505	203.24345275	355.50000000000637
s101	s101ali	ali	ADS	囉	lo1	lɔ	560.84	36.000000000001364	344.32895543333336	498.9999999999952
s101	s101ali	ali	ADS	囉	lo1	lɔ	196.16	355.0000000000182	185.80368673333334	501.24999999999886
s101	s101ali	ali	ADS	囉	lo1	lɔ	220.58	101.99999999997544	215.37680585714287	470.49999999998704
s101	s101ali	ali	ADS	囉	lo1	lɔ	366.85	42.00000000003001	224.59799996666666	198.0000000000075
s101	s101ali	ali	ADS	囉	lo1	lɔ	231.54	84.99999999997954	241.6885505	103.7499999999909
s101	s101cl	cl	CDS	喎	wo3	wɔ	175.07	221.00000000000364	213.04485805000002	207.75000000000077
s101	s101cl	cl	CDS	喎	wo3	wɔ	161.08	492.00000000001864	161.0781461	280.5000000000035
s101	s101cl	cl	CDS	呢	le1	lɛ	471.63	111.90600000003315	275.14366133333334	342.976533500007
s101	s101cl	cl	CDS	喎	wo3	wɔ	241.67	241.4590000000203	223.71275955	352.8647787499892
s101	s101cl	cl	CDS	喎	wo3	wɔ	232.96	51.999999999964075	238.67126286666667	400.49999999999386
s101	s101cl	cl	CDS	喎	wo3	wɔ	203.19	468.00000000001774	245.521482	334.49999999999136
s101	s101cl	cl	CDS	呢	le1	lɛ	203.19	171.12299999996594	202.93396769999998	135.2808465000095
s101	s101cl	cl	CDS	喎	wo3	wɔ	311.1	201.29700000001094	300.1430046	262.82427075000214
s101	s101cl	cl	CDS	囉	lo1	lɔ	386.79	96.58100000001468	344.9991207666667	141.64523524999595
s101	s101cl	cl	CDS	喎	wo3	wɔ	189.3	407.44000000000824	189.3048085	249.3600520000001
s101	s101cl	cl	CDS	喎	wo3	wɔ	189.3	144.9999999999818	226.32801175	656.25
s101	s101cl	cl	CDS	囉	lo1	lɔ	255.68	137.00000000000045	255.6761923	191.74999999999898
s101	s101cl	cl	CDS	喎	wo3	wɔ	359.12	58.99999999996908	301.6619346333333	274.7499999999974
s101	s101cl	cl	CDS	喎	wo3	wɔ	170.64	186.22300000004088	201.7231439	194.05580025002678
s101	s101cl	cl	CDS	喎	wo3	wɔ	170.64	394.1509999999653	NaN	241.03789500000516
s101	s101cl	cl	CDS	喎	wo3	wɔ	337.71	196.79000000007818	337.7145314	166.69760175000192
s101	s101cl	cl	CDS	喎	wo3	wɔ	178.62	687.9999999999882	197.11565926666665	391.9999999999959
s101	s101cl	cl	CDS	囉	lo1	lɔ	223.98	345.26999999991403	230.0060496875	603.8175150000029
s101	s101cl	cl	CDS	喎	wo3	wɔ	169.24	425.687000000039	215.14605295	258.92187499999864
s101	s101cl	cl	CDS	喎	wo3	wɔ	145.39	164.74299999993036	200.75507463333335	653.6857122499953
s101	s101cl	cl	CDS	呢	le1	lɛ	226.24	57.08300000003419	219.2917589	471.7707114999996
s101	s101cl	cl	CDS	喎	wo3	wɔ	226.24	111.99999999996635	163.0454134	170.5000000000041
s101	s101cl	cl	CDS	喎	wo3	wɔ	199.05	377.99999999992906	191.1695096	366.9999999999902
s101	s101cl	cl	CDS	喎	wo3	wɔ	199.05	258.3400000000893	162.4765128	442.08500775002335
s101	s101cl	cl	CDS	喎	wo3	wɔ	161.69	522.3690000000261	161.6925218	258.0922987500003
s101	s101cl	cl	CDS	喎	wo3	wɔ	154.94	132.00000000006185	199.18567488000002	483.0000000000041
s101	s101cl	cl	CDS	喎	wo3	wɔ	122.76	93.99999999993724	136.20938875	273.4999999999843
s101	s101cl	cl	CDS	呢	le1	lɛ	213.9	54.13199999998142	206.473335775	396.033105000015
s101	s101cl	cl	CDS	喎	wo3	wɔ	NA	120.12499999991633	NA	352.53125000002683
s101	s101cl	cl	CDS	喎	wo3	wɔ	199.76	1054.5620000000326	199.7649576	423.6407349999922
s101	s101cl	cl	CDS	喎	wo3	wɔ	199.76	390.9369999998944	NaN	230.23426750000908
s101	s101cl	cl	CDS	呢	le1	lɛ	199.76	217.74200000004384	319.375553525	244.43553250000605
s101	s101cl	cl	CDS	喎	wo3	wɔ	193.55	352.7510000001257	193.5453737	213.18782500003408
s101	s101cl	cl	CDS	喎	wo3	wɔ	193.55	478.43299999999545	193.4216363	454.60835500000485
s101	s101cl	cl	CDS	喎	wo3	wɔ	193.55	433.6249999998927	261.9518629	263.40625000000273
s101	s101cl	cl	CDS	喎	wo3	wɔ	193.55	201.5000000001237	193.69265078333333	477.87500000004
s101	s101cl	cl	CDS	喎	wo3	wɔ	172.22	330.9999999999036	172.2234072	200.24999999998272
s101	s101cl	cl	CDS	囉	lo1	lɔ	198.97	104.74999999996726	198.9714051	128.68750000001228
s101	s101cl	cl	CDS	呢	le1	lɛ	193.19	90.00000000014552	181.83867895	417.5000000000182
s101	s101cl	cl	CDS	呢	le1	lɛ	201.32	42.625000000043656	NA	453.15625000000637
s101	s101cl	cl	CDS	喎	wo3	wɔ	490.68	142.37500000012915	306.9346635	325.5937499999959
s101	s101cl	cl	CDS	呢	le1	lɛ	490.68	203.87800000003153	183.60735103333334	268.4694499999978
s101	s101cl	cl	CDS	呢	le1	lɛ	200.08	225.12499999993452	209.79229943333334	141.28125000002
s101	s101cl	cl	CDS	喎	wo3	wɔ	200.08	294.9479999999767	NaN	163.73702500004583
s101	s101cl	cl	CDS	囉	lo1	lɔ	547.23	41.50000000004184	318.8622332333333	195.37500000001273
s101	s101cl	cl	CDS	喎	wo3	wɔ	149.07	205.62500000005457	199.644141425	223.90625000002728
s101	s101cl	cl	CDS	呢	le1	lɛ	271.75	51.50000000003274	284.33283925	460.3749999999991
s101	s101cl	cl	CDS	喎	wo3	wɔ	142.45	37.00000000003456	191.9932612	539.2500000000382
s101	s101cl	cl	CDS	喎	wo3	wɔ	142.45	554.1119999998045	212.84406206666668	388.5281049999776
