ID,Condition,Types_of_SFPs,Relative_frequency
101,ADS,laa1,0.0625
102,ADS,laa1,0
103,ADS,laa1,0.0275
104,ADS,laa1,0.0348
105,ADS,laa1,0.023
106,ADS,laa1,0.0358
107,ADS,laa1,0.0271
108,ADS,laa1,0.0208
109,ADS,laa1,0.0148
110,ADS,laa1,0.0191
111,ADS,laa1,0.0037
112,ADS,laa1,0.0255
113,ADS,laa1,0.0193
114,ADS,laa1,0.0127
115,ADS,laa1,0.0206
116,ADS,laa1,0.0192
117,ADS,laa1,0.0042
118,ADS,laa1,0.0216
119,ADS,laa1,0.0221
120,ADS,laa1,0.0221
121,ADS,laa1,0.0112
122,ADS,laa1,0.0093
123,ADS,laa1,0.0242
124,ADS,laa1,0.0057
125,ADS,laa1,0.0147
126,ADS,laa1,0.0145
101,CDS,laa1,0.0189
102,CDS,laa1,0
103,CDS,laa1,0.0137
104,CDS,laa1,0.0049
105,CDS,laa1,0.0207
106,CDS,laa1,0.0139
107,CDS,laa1,0.0026
108,CDS,laa1,0.0129
109,CDS,laa1,0.003
110,CDS,laa1,0.0091
111,CDS,laa1,0.009
112,CDS,laa1,0.0159
113,CDS,laa1,0.0151
114,CDS,laa1,0.0063
115,CDS,laa1,0.0098
116,CDS,laa1,0.016
117,CDS,laa1,0.0129
118,CDS,laa1,0.009
119,CDS,laa1,0.0184
120,CDS,laa1,0.0204
121,CDS,laa1,0.0163
122,CDS,laa1,0.01
123,CDS,laa1,0.0168
124,CDS,laa1,0.0083
125,CDS,laa1,0.0126
126,CDS,laa1,0.0133
101,ADS,wo3,0
102,ADS,wo3,0.0015
103,ADS,wo3,0.0074
104,ADS,wo3,0.0029
105,ADS,wo3,0
106,ADS,wo3,0
107,ADS,wo3,0.0038
108,ADS,wo3,0.0015
109,ADS,wo3,0.001
110,ADS,wo3,0.0028
111,ADS,wo3,0
112,ADS,wo3,0
113,ADS,wo3,0
114,ADS,wo3,0.0032
115,ADS,wo3,0.0021
116,ADS,wo3,0
117,ADS,wo3,0.0024
118,ADS,wo3,0.0068
119,ADS,wo3,0.0144
120,ADS,wo3,0.0062
121,ADS,wo3,0.0028
122,ADS,wo3,0.001
123,ADS,wo3,0.0031
124,ADS,wo3,0.0057
125,ADS,wo3,0.0018
126,ADS,wo3,0.0026
101,CDS,wo3,0.0215
102,CDS,wo3,0.0214
103,CDS,wo3,0.0161
104,CDS,wo3,0.0214
105,CDS,wo3,0.0159
106,CDS,wo3,0.0153
107,CDS,wo3,0.0164
108,CDS,wo3,0.0118
109,CDS,wo3,0.0068
110,CDS,wo3,0.0211
111,CDS,wo3,0.0162
112,CDS,wo3,0.0165
113,CDS,wo3,0.0201
114,CDS,wo3,0.0176
115,CDS,wo3,0.0156
116,CDS,wo3,0.026
117,CDS,wo3,0.017
118,CDS,wo3,0.0131
119,CDS,wo3,0.017
120,CDS,wo3,0.0192
121,CDS,wo3,0.0171
122,CDS,wo3,0.0165
123,CDS,wo3,0.028
124,CDS,wo3,0.0194
125,CDS,wo3,0.0129
126,CDS,wo3,0.0202
101,ADS,le1,0
102,ADS,le1,0.003
103,ADS,le1,0.0059
104,ADS,le1,0.0029
105,ADS,le1,0.0034
106,ADS,le1,0.0139
107,ADS,le1,0.012
108,ADS,le1,0.0556
109,ADS,le1,0
110,ADS,le1,0.0071
111,ADS,le1,0.0037
112,ADS,le1,0.0015
113,ADS,le1,0.0062
114,ADS,le1,0
115,ADS,le1,0.0031
116,ADS,le1,0.0028
117,ADS,le1,0.003
118,ADS,le1,0.0034
119,ADS,le1,0.0019
120,ADS,le1,0.0159
121,ADS,le1,0.0045
122,ADS,le1,0.0067
123,ADS,le1,0.0062
124,ADS,le1,0.0016
125,ADS,le1,0.0056
126,ADS,le1,0.0135
101,CDS,le1,0.0113
102,CDS,le1,0.0125
103,CDS,le1,0.0134
104,CDS,le1,0.0107
105,CDS,le1,0.0086
106,CDS,le1,0.0176
107,CDS,le1,0.0141
108,CDS,le1,0.002
109,CDS,le1,0.0078
110,CDS,le1,0.0116
111,CDS,le1,0.0126
112,CDS,le1,0.0075
113,CDS,le1,0.0172
114,CDS,le1,0.0052
115,CDS,le1,0.0073
116,CDS,le1,0.0138
117,CDS,le1,0.0071
118,CDS,le1,0.0214
119,CDS,le1,0.0149
120,CDS,le1,0.0028
121,CDS,le1,0.0086
122,CDS,le1,0.0135
123,CDS,le1,0.0065
124,CDS,le1,0.0103
125,CDS,le1,0.0039
126,CDS,le1,0.0152
